season1,club1,season2,club2,season3,club3,pos,letters,country,name,countryCode,col1A,col1B,col1C,col2A,col2B,col2C,col3A,col3B,col3C,
2011/12,Chelsea,2014/15,Everton,2021/22,Chelsea,FW,6,Belgium,Lukaku,BE,blue,blue,blue,blue,blue,blue,blue,blue,blue,
1988/89,Juventus,1993/94,Barcelona,1994/95,Real Madrid,MF/FW,7,Denmark,Laudrup,DK,white,black,white,firebrick,navy,firebrick,white,white,white,
1979/80,Sambenedettese,1982/83,Avellino,1992/93,Genoa,GK,7,Italy,Tacconi,IT,red,navy,red,green,white,green,navy,darkred,navy,
2004/05,Genoa,2006/07,Real Zaragoza,2008/09,Genoa,FW,6,Argentina,Milito,AR,navy,darkred,navy,white,white,blue,navy,darkred,navy,
1998/99,Rangers,2001/02,Arsenal,2005/06,Barcelona,DF,3+11,Netherlands,van Bronckhorst,NL,royalblue,white,red,white,red,white,firebrick,navy,firebrick,
1995/96,Schalke 04,1998/99,AC Milan,2006/07,Arsenal,GK,7,Germany,Lehmann,DE,royalblue,royalblue,white,red,black,red,white,red,white,
2005/06,Shakhtar Donetsk,2008/09,Manchester City,2013,Gremio,MF,5,Brazil,Elano,BR,orange,orange,black,skyblue,skyblue,white,dodgerblue,white,black,
2004/05,Lazio,2014/15,Galatasaray,2016/17,Genoa,FW,6,North Macedonia,Pandev,MK,skyblue,skyblue,white,red,gold,red,navy,darkred,navy,
1997/98,PSV,2000/01,Inter,2007,Corinthians,MF,7,Brazil,Vampeta,BR,red,white,red,blue,black,blue,black,white,black,
1999/00,Alaves,2001/02,AC Milan,2006/07,Getafe,DF/MF,6,Romania,Contra,RO,blue,white,black,red,black,red,blue,blue,blue,
2008/09,AZ Alkmaar,2012/13,Feyenoord,2014/15,Southampton,FW,5,Italy,Pellè,IT,red,white,black,white,red,black,red,white,red,
2001/02,Lazio,2002/03,Barcelona,2003/04,Middlesbrough,MF,8,Spain,Mendieta,ES,skyblue,skyblue,white,firebrick,navy,firebrick,red,red,white,
2002/03,Watford,2006/07,Liverpool,2011/12,Stoke City,MF,7,England,Pennant,GB,yellow,black,red,red,red,red,white,red,white,
2001/02,Tottenham,2003/04,Fenerbahçe,2004/05,West Ham Utd,FW,6,Ukraine,Rebrov,UA,white,white,navy,navy,yellow,navy,skyblue,darkred,skyblue,
2009/10,Auxerre,2011/12,Genoa,2015/16,Chievo Verona,MF,5,Slovenia,Birsa,SI,white,white,steelblue,navy,darkred,navy,gold,gold,blue,
2005/06,Barcelona,2008/09,Bayern Munich,2011/12,AC Milan,MF,3+6,Netherlands,van Bommel,NL,firebrick,navy,firebrick,red,red,white,red,black,red,
2005/06,Liverpool,2014/15,Bayern Munich,2020,Aston Villa,GK,5,Spain,Reina,ES,red,red,red,red,red,white,skyblue,darkred,skyblue,
1996/97,Como,1998/99,Bari,2006/07,Barcelona,DF/MF,9,Italy,Zambrotta,IT,royalblue,royalblue,royalblue,white,white,red,firebrick,navy,firebrick,
1996/97,Sparta Prague,2000/01,Fiorentina,2006/07,Sparta Prague,DF,5,Czechia,Repka,CZ,darkred,darkred,white,blueviolet,blueviolet,blueviolet,darkred,darkred,white,
2013/14,Siena,2016/17,Atalanta,2018/19,Juventus,DF/MF,10,Italy,Spinazzola,IT,white,black,white,blue,black,blue,white,black,white,
1987/88,Bayer Uerdingen,1990/91,Salzburg,2001/02,Monaco,FW,8,Germany,Bierhoff,DE,blue,red,blue,blueviolet,blueviolet,blueviolet,red,white,red,
2008/09,Inter,2010/11,West Ham Utd,2015/16,Duisburg,FW,6,Nigeria,Obinna,NG,blue,black,blue,skyblue,darkred,skyblue,white,white,blue,
1990/91,Bologna,1994/95,Lazio,2003/04,Lazio,DF,5,Italy,Negro,IT,darkred,navy,darkred,skyblue,skyblue,white,skyblue,skyblue,white,
1997/98,Hertha Berlin,2006/07,Aston Villa,2012/13,1860 Munich,GK,6,Hungary,Király,HU,blue,white,blue,skyblue,darkred,skyblue,skyblue,white,skyblue,
1990/91,Fiorentina,1995/96,Genoa,1999/00,Atalanta,FW,5,Italy,Nappi,IT,blueviolet,blueviolet,blueviolet,navy,darkred,navy,blue,black,blue,
2016/17,West Ham Utd,2017/18,Valencia,2018/19,Torino,FW,4,Italy,Zaza,IT,skyblue,darkred,skyblue,white,white,black,firebrick,firebrick,firebrick,
2008/09,Roma,2012/13,Paris Saint Germain,2019/20,Paris FC,FW,5,France,Menez,FR,darkred,darkred,gold,navy,red,navy,navy,navy,white,
1996/97,Middlesbrough,2001/02,Derby County,2003/04,Dundee FC,FW,9,Italy,Ravanelli,IT,red,red,white,white,white,black,navy,navy,dodgerblue,
1983/84,Benfica,1986/87,Atalanta,1991/92,Atalanta,MF,9,Sweden,Strömberg,SE,red,red,white,blue,black,blue,blue,black,blue,
2005/06,Inter,2009/10,Bari,2017/18,AC Milan,DF,7,Italy,Bonucci,IT,blue,black,blue,white,white,red,red,black,red,
1986/87,Honvéd,1990/91,Bologna,1993/94,Genoa,MF,6,Hungary,Détári,HU,red,black,red,darkred,navy,darkred,navy,darkred,navy,
1981/82,Cagliari,1983/84,Torino,1985/86,Inter,FW,8,Italy,Selvaggi,IT,navy,red,navy,firebrick,firebrick,firebrick,blue,black,blue,
2007/08,Pro Vercelli,2015/16,Pescara,2018/19,Genoa,FW,8,Peru,Lapadula,PE,white,white,white,dodgerblue,white,dodgerblue,navy,darkred,navy,
2003/04,Palermo,2005/06,Fiorentina,2012/13,Fiorentina,FW,4,Italy,Toni,IT,lightpink,lightpink,black,blueviolet,blueviolet,blueviolet,blueviolet,blueviolet,blueviolet,
1992/93,Roma,1998/99,Lazio,2005/06,Inter,DF/MF,10,Serbia,Mihajlović,RS,darkred,darkred,gold,skyblue,skyblue,white,blue,black,blue,
1996/97,Bayern Munich,1998/99,Piacenza,2000/01,Cesena,FW,10,Italy,Rizzitelli,IT,red,red,white,red,red,white,white,white,black,
1974/75,Real Madrid,1977/78,Eintracht Braunschweig,1981/82,Bayern Munich,DF/MF,8,Germany,Breitner,DE,white,white,white,yellow,blue,yellow,red,red,white,
1997/98,Barcelona,1999/00,Olympique Marseille,2009/10,Espanyol,MF,2+2+4,Spain,de la Peña,ES,firebrick,navy,firebrick,white,white,dodgerblue,royalblue,white,royalblue,
1985/86,Club Brugge,1992/93,AC Milan,1996/97,Bordeaux,FW,5,France,Papin,FR,blue,black,blue,red,black,red,navy,navy,white,
1999/00,Real Madrid,2010/11,Real Madrid,2016/17,Porto,GK,8,Spain,Casillas,ES,white,white,white,white,white,white,blue,white,blue,
2015/16,Real Madrid,2018/19,Real Madrid,2019/20,Leeds Utd,GK,7,Spain,Casilla,ES,white,white,white,white,white,white,white,yellow,royalblue,
1999,Perugia,2002/03,Celta Vigo,2005/06,Argentinos Juniors,FW,8,Ecuador,Kaviedes,EC,red,red,white,skyblue,skyblue,skyblue,red,red,white,
1997/98,Vicenza,1999/00,Torino,2001/02,Barcelona,DF/MF,4,Italy,Coco,IT,red,white,red,firebrick,firebrick,firebrick,firebrick,navy,firebrick,
2004/05,Lorient,2008/09,Toulouse,2018/19,Tigres UANL,FW,6,France,Gignac,FR,orange,orange,black,purple,purple,white,gold,blue,gold,
1995/96,Bayer 04 Leverkusen,1997/98,Roma,2000/01,Bayern Munich,FW,5+6,Brazil,Paulo Sergio,BR,red,black,red,darkred,darkred,gold,red,red,white,
1989/90,Argentinos Juniors,1991/92,Tenerife,2002/03,AC Milan,MF,7,Argentina,Redondo,AR,red,red,white,white,white,blue,red,black,red,
1993/94,Paris Saint Germain,2000/01,Aston Villa,2002,Everton,MF/FW,6,France,Ginola,FR,navy,red,navy,skyblue,darkred,skyblue,blue,blue,blue,
1990/91,Boca Juniors,1992/93,Fiorentina,2000/01,Rosario Central,FW,7,Argentina,Latorre,AR,blue,gold,blue,blueviolet,blueviolet,blueviolet,navy,gold,navy,
2012/13,Boca Juniors,2014,Chievo Verona,2019/20,Paris Saint Germain,MF,7,Argentina,Paredes,AR,blue,gold,blue,gold,gold,blue,navy,red,navy,
1996/97,Sevilla,2001,Standard Liège,2001/02,Portsmouth,MF,10,Croatia,Prosinecki,HR,white,red,white,red,red,white,royalblue,white,red,
1994/95,Pistoiese,1996/97,AC Milan,1998/99,Perugia,GK,7,Italy,Pagotto,IT,orange,orange,orange,red,black,red,red,red,white,
1990/91,Udinese,1999/00,Fiorentina,2002/03,Boca Juniors,FW,5,Argentina,Balbo,AR,white,black,white,blueviolet,blueviolet,blueviolet,blue,gold,blue,
2004/05,Monaco,2007/08,Osasuna,2013/14,Catania,MF,6,Czechia,Plasil,CZ,red,white,red,red,red,navy,red,dodgerblue,red,
1988/89,Newell's Old Boys,1989/90,River Plate,2003,Inter,FW,9,Argentina,Batistuta,AR,black,red,black,white,red,white,blue,black,blue,
2004/05,Newcastle Utd,2005/06,Valencia,2007/08,Lille,FW,8,Netherlands,Kluivert,NL,white,black,white,white,white,black,red,red,navy,
1998/99,Brescia,2003/04,Ancona,2004,Perugia,FW,6,Italy,Hübner,IT,dodgerblue,white,dodgerblue,red,red,white,red,red,white,
1992/93,Pescara,1994/95,Stuttgart,1999/00,Internacional,MF,5,Brazil,Dunga,BR,dodgerblue,white,dodgerblue,white,red,white,red,red,white,
2003/04,Villarreal,2004/05,AC Milan,2017/18,San Lorenzo,DF,9,Argentina,Coloccini,AR,yellow,yellow,yellow,red,black,red,navy,red,navy,
1956/57,River Plate,1960/61,Juventus,1966/67,Napoli,FW,6,Argentina+Italy,Sivori,ARIT,white,red,white,white,black,white,dodgerblue,dodgerblue,dodgerblue,
2000/01,Galatasaray,2004,Ancona,2007,Anorthosis,FW,6,Brazil,Jardel,BR,red,gold,red,red,red,white,blue,white,blue,
1990/91,Bari,2002/03,Atalanta,2005/06,Treviso,DF,7,Italy,Carrera,IT,white,white,red,blue,black,blue,skyblue,white,skyblue,
2000/01,Rangers,2003/04,Siena,2007/08,Leeds Utd,FW,3,Norway,Flo,NO,royalblue,white,red,white,black,white,white,yellow,royalblue,
2016/17,Paris Saint Germain,2017/18,West Brom,2019/20,Lokomotiv Moscow,MF,10,Poland,Krychowiak,PL,navy,red,navy,navy,white,navy,darkgreen,darkgreen,red,
2001/02,Mallorca,2014/15,Everton,2015,Sampdoria,FW,3'1,Cameroon,Eto'o,CM,red,red,black,blue,blue,blue,dodgerblue,white,dodgerblue,
1999/00,River Plate,2011/12,Malaga,2013/14,Manchester City,DF,10,Argentina,Demichelis,AR,white,red,white,royalblue,white,royalblue,skyblue,skyblue,white,
1988/89,Chelsea,1996/97,Blackburn Rovers,2004/05,Southampton,DF,2+4,England,Le Saux,GB,blue,blue,blue,white,royalblue,white,red,white,red,
1992/93,Brescia,1995/96,Espanyol,2000/01,Dinamo Bucuresti,FW,9,Romania,Raducioiu,RO,dodgerblue,white,dodgerblue,royalblue,white,royalblue,red,white,red,
2001/02,Fiorentina,2005/06,Benfica,2012/13,Blackburn Rovers,FW,4+5,Portugal,Nuno Gomes,PT,blueviolet,blueviolet,blueviolet,red,red,white,white,royalblue,white,
1996/97,Celtic,1997/98,Sheffield Wednesday,2004/05,Lazio,FW,2+5,Italy,Di Canio,IT,green,white,green,white,royalblue,white,skyblue,skyblue,white,
1994/95,River Plate,2006/07,Inter,2009/10,Genoa,FW,6,Argentina,Crespo,AR,white,red,white,blue,black,blue,navy,darkred,navy,
2008/09,Udinese,2011,Genoa,2012/13,Granada,FW,5+6,Italy,Floro Flores,IT,white,black,white,navy,darkred,navy,red,white,red,
1994/95,Parma,1997/98,Barcelona,2006/07,Parma,DF,8+5,Portugal,Fernando Couto,PT,white,gold,blue,firebrick,navy,firebrick,white,gold,blue,
2012/13,Heerenven,2014/15,Real Sociedad,2017/18,FC Augsburg,FW,11,Iceland,Finnbogason,IS,royalblue,white,royalblue,royalblue,white,royalblue,white,forestgreen,red,
