season1,club1,season2,club2,season3,club3,pos,letters,country,name,countryCode,col1A,col1B,col1C,col2A,col2B,col2C,col3A,col3B,col3C,
2002/03,Venezia,2008/09,Inter,2009/10,AC Milan,MF/FW,7,Brazil,Mancini,BR,black,green,orange,blue,black,blue,red,black,red,
1985/86,Avellino,1988/89,Inter,1990/91,Monaco,FW,4,Argentina,Diaz,AR,green,white,green,blue,black,blue,red,white,red,
2012/13,Benfica,2014/15,Zenit St. Petersburg,2018/19,Valencia,DF,5,Argentina,Garay,AR,red,red,white,white,royalblue,white,white,white,black,
2013/14,AC Ajaccio,2015/16,Malaga,2018/19,Standard Liège,GK,5,Mexico,Ochoa,MX,white,red,white,royalblue,white,royalblue,red,red,white,
2001/02,Hellas Verona,2002/03,Parma,2013/14,AC Ajaccio,FW,4,Romania,Mutu,RO,mediumblue,mediumblue,gold,white,gold,blue,white,red,white,
1990/91,Fiorentina,1992/93,Brescia,1996/97,Hellas Verona,GK,8,Italy,Landucci,IT,blueviolet,blueviolet,blueviolet,dodgerblue,white,dodgerblue,mediumblue,mediumblue,gold,
1985/86,Lecce,1993/94,Parma,1996/97,Perugia,DF,2+6,Italy,Di Chiara,IT,red,yellow,red,white,gold,blue,red,red,white,
1991/92,Monaco,1997/98,Arsenal,2000/01,Barcelona,MF,5,France,Petit,FR,red,white,red,white,red,white,firebrick,navy,firebrick,
1975/76,Ajax,1982/83,Napoli,1984/85,Cannes,DF,4,Netherlands,Krol,NL,white,red,white,dodgerblue,dodgerblue,dodgerblue,red,white,red,
2004/05,Atalanta,2007/08,Fiorentina,2012/13,AC Milan,MF,9,Italy,Montolivo,IT,blue,black,blue,blueviolet,blueviolet,blueviolet,red,black,red,
1986/87,AC Milan,1989/90,Monaco,1995/96,QPR,FW,7,England,Hateley,GB,red,black,red,red,white,red,white,royalblue,white,
1979/80,Juventus,1988/89,Inter,1991/92,Hellas Verona,MF/FW,5,Italy,Fanna,IT,white,black,white,blue,black,blue,mediumblue,mediumblue,gold,
2004/05,Atalanta,2008/09,Sampdoria,2017/18,Levante,FW,7,Italy,Pazzini,IT,blue,black,blue,dodgerblue,white,dodgerblue,navy,red,navy,
2018/19,Wolfsburg,2021/22,Burnley,2022/23,Besiktas,FW,8,Netherlands,Weghorst,NL,green,green,white,skyblue,darkred,skyblue,white,white,black,
2019,Boca Juniors,2020,Estudiantes,2022,Atletico Tigre,FW,7,Italy,Retegui,IT,blue,gold,blue,red,white,red,blue,red,blue,
2005/06,Palermo,2011/12,Catania,2023,Estudiantes,GK,7,Argentina,Andujar,AR,lightpink,lightpink,black,red,dodgerblue,red,red,white,red,
2005/06,Juventus,2007/08,Sampdoria,2012/13,Parma,GK,7,Italy,Mirante,IT,white,black,white,dodgerblue,white,dodgerblue,white,gold,blue,
1983/84,Manchester Utd,1984/85,AC Milan,1995/96,QPR,MF,7,England,Wilkins,GB,red,red,red,red,black,red,white,royalblue,white,
2000/01,Lazio,2002/03,Manchester Utd,2003/04,Chelsea,MF,5,Argentina,Veron,AR,skyblue,skyblue,white,red,red,red,blue,blue,blue,
1996/97,Torino,2001/02,SPAL,2018/19,Chievo Verona,FW,10,Italy,Pellissier,IT,firebrick,firebrick,firebrick,white,royalblue,white,gold,gold,blue,
1999/00,Reggina,2004/05,Chievo Verona,2009/10,Lazio,MF,7,Italy,Baronio,IT,maroon,maroon,maroon,gold,gold,blue,skyblue,skyblue,white,
2013/14,Manchester Utd,2015/16,Borussia Dortmund,2021/22,Real Sociedad,FW,7,Belgium,Januzaj,BE,red,red,red,yellow,yellow,black,royalblue,white,royalblue,
1994/95,Inter,1999/00,AC Milan,2002/03,Brindisi,MF,9,Italy,Orlandini,IT,blue,black,blue,red,black,red,white,royalblue,white,
1997/98,Paris Saint Germain,1999/00,Monaco,2001/02,AC Milan,FW,6,Italy,Simone,IT,navy,red,navy,red,white,red,red,black,red,
2006/07,AC Milan,2009/10,Bordeaux,2013/14,Olympique Lyon,MF,8,France,Gourcuff,FR,red,black,red,navy,navy,white,white,red,blue,
1991/92,Napoli,1995/96,Nottingham Forest,1999/00,Torino,FW,7,Italy,Silenzi,IT,dodgerblue,dodgerblue,dodgerblue,red,white,red,firebrick,firebrick,firebrick,
1979/80,Freiburg,1981/82,Eintracht Frankfurt,1984/85,Karlsruhe,MF/FW,3,Germany,Löw,DE,white,black,white,red,black,red,blue,blue,white,
2001/02,Hellas Verona,2008/09,Bayern Munich,2011/12,Lecce,DF,4,Italy,Oddo,IT,mediumblue,mediumblue,gold,red,red,white,red,yellow,red,
2011/12,Lecce,2013/14,Fiorentina,2014/15,Chelsea,DF/MF/FW,8,Colombia,Cuadrado,CO,red,yellow,red,blueviolet,blueviolet,blueviolet,blue,blue,blue,
1982/83,Roma,1986/87,AC Milan,1987/88,Cesena,MF,2+10,Italy,Di Bartolomei,IT,darkred,darkred,gold,red,black,red,white,white,black,
2011/12,Genoa,2018/19,Trabzonspor,2021/22,Watford,MF,5,Slovakia,Kucka,SK,navy,darkred,navy,darkred,darkred,dodgerblue,yellow,black,red,
1997/98,Valencia,2002/03,Lazio,2007/08,Racing Club,FW,5,Argentina,Lopez,AR,white,white,black,skyblue,skyblue,white,royalblue,white,royalblue,
2012/13,Liverpool,2013/,Sunderland,2019/20,Hellas Verona,FW,6,Italy,Borini,IT,red,red,red,red,white,red,mediumblue,mediumblue,gold,
1990/91,Pisa,1993/94,Sevilla,1996/97,Atletico Madrid,MF,7,Argentina,Simeone,AR,blue,black,blue,white,red,white,red,white,red,
2008/09,Lille,2011/12,Arsenal,2019/20,Parma,FW,8,Brazil,Gervinho,BR,red,red,navy,white,red,white,white,gold,blue,
2011/12,Paris Saint Germain,2016/17,Sevilla,2016/17,Osasuna,GK,6,Italy,Sirigu,IT,navy,red,navy,white,red,white,red,red,navy,
2005/06,Fiorentina,2015/16,Fiorentina,2018/19,Empoli,DF,7,Italy,Pasqual,IT,blueviolet,blueviolet,blueviolet,blueviolet,blueviolet,blueviolet,royalblue,royalblue,white,
1988/89,Chievo Verona,2001/02,Chievo Verona,2003,Napoli,DF,1'6,Italy,D'Angelo,IT,gold,gold,blue,gold,gold,blue,dodgerblue,dodgerblue,dodgerblue,
2008/09,Ajax,2016/17,Fenerbahçe,2017/18,Cagliari,DF,3+3+4,Netherlands,Van der Wiel,NL,white,red,white,navy,yellow,navy,navy,red,navy,
2009/10,San Lorenzo,2013/14,Metalist Charkiv,2020/21,Sevilla,MF/FW,5,Argentina,Gomez,AR,navy,red,navy,yellow,forestgreen,yellow,white,red,white,
2000/01,Napoli,2005/06,Chievo Verona,2011/12,Fiorentina,FW,6,Italy,Amauri,IT,dodgerblue,dodgerblue,dodgerblue,gold,gold,blue,blueviolet,blueviolet,blueviolet,
1994/95,Genoa,1999/00,Piacenza,2002/03,Torino,DF,5+5,Italy,Delli Carri,IT,navy,darkred,navy,red,red,white,firebrick,firebrick,firebrick,
1998/99,Bari,2001/02,Bordeaux,2002/03,Torino,MF/FW,10,Sweden,Osmanovski,SE,white,white,red,navy,navy,white,firebrick,firebrick,firebrick,
1991/92,Cremonese,1998/99,Blackburn Rovers,2002/03,Piacenza,MF,8,Italy,Marcolin,IT,red,gray,red,white,royalblue,white,red,red,white,
2001/02,Torino,2005/06,Treviso,2007,Internacional,FW,5,Brazil,Pinga,BR,firebrick,firebrick,firebrick,skyblue,white,skyblue,red,red,white,
1996/97,Bologna,1997/98,AC Milan,2005/06,Parma,DF,7,Italy,Cardone,IT,darkred,navy,darkred,red,black,red,white,gold,blue,
2006/07,Lazio,2009/10,Bologna,2012/13,Inter,DF,9,Belgium,Mudingayi,BE,skyblue,skyblue,white,darkred,navy,darkred,blue,black,blue,
2014/15,Atalanta,2016/17,Torino,2021/22,Cagliari,MF,7,Italy,Baselli,IT,blue,black,blue,firebrick,firebrick,firebrick,navy,red,navy,
2014/15,Genoa,2020/21,Celtic,2021/22,Dinamo Moscow,MF,6,Uruguay,Laxalt,UY,navy,darkred,navy,green,white,green,white,royalblue,white,
2004/05,Atalanta,2008/09,Palermo,2016/17,Atalanta,MF,10,Italy,Migliaccio,IT,blue,black,blue,lightpink,lightpink,black,blue,black,blue,
2004/05,Parma,2005/06,Middlesbrough,2010/11,Sampdoria,FW,9,Italy,Maccarone,IT,white,gold,blue,red,red,white,dodgerblue,white,dodgerblue,
2012/13,Spezia,2015/16,Empoli,2016/17,Roma,DF,5+3,Portugal,Mario Rui,PT,white,white,black,royalblue,royalblue,white,darkred,darkred,gold,
2008/09,Palermo,2014/15,Lille,2017/18,Sevilla,DF,5,Denmark,Kjaer,DK,lightpink,lightpink,black,red,red,navy,white,red,white,
1987/88,Real Zaragoza,1992/93,AC Milan,1994/95,Ajax,MF,8,Netherlands,Rijkaard,NL,white,white,blue,red,black,red,white,red,white,
2014/15,Empoli,2017/18,Torino,2019/20,Spal,MF,10,Italy,Valdifiori,IT,royalblue,royalblue,white,firebrick,firebrick,firebrick,white,royalblue,white,
1998/99,Standard Liège,2000/01,Sporting CP,2006/07,Anderlecht,FW,6,Belgium,Mpenza,BE,red,red,white,green,white,green,darkorchid,darkorchid,white,
2014/15,RB Leipzig,2015/16,Hellas Verona,2018/19,Eintracht Frankfurt,FW,5,Croatia,Rebic,HR,white,red,white,mediumblue,mediumblue,gold,red,black,red,
1999/00,Barcelona,2001/02,Liverpool,2004/05,Hansa Rostock,FW,8,Finland,Litmanen,FI,firebrick,navy,firebrick,red,red,red,white,royalblue,red,
2005/06,Independiente,2012/13,Anderlecht,2015/16,Lazio,MF,6,Argentina,Biglia,AR,red,red,black,darkorchid,darkorchid,white,skyblue,skyblue,white,
2005/06,Fiorentina,2008/09,Napoli,2020/21,Benevento,DF,6,Italy,Maggio,IT,blueviolet,blueviolet,blueviolet,dodgerblue,dodgerblue,dodgerblue,gold,red,gold,
2011/12,Barcelona,2012/13,Schalke 04,2017/18,Stoke City,FW,7,Netherlands,Afellay,NL,firebrick,navy,firebrick,royalblue,royalblue,white,white,red,white,
2011/12,Manchester City,2013/14,Fiorentina,2018/19,Atletico Madrid,DF,5,Montenegro,Savic,ME,skyblue,skyblue,white,blueviolet,blueviolet,blueviolet,red,white,red,
2011/12,Roma,2013/14,Ajax,2016/17,Mainz 05,FW,5,Spain,Bojan,ES,darkred,darkred,gold,white,red,white,red,white,red,
2016/17,Sassuolo,2017/18,Benevento,2020/21,Las Palmas,FW,8,Italy,Iemmello,IT,forestgreen,black,forestgreen,gold,red,gold,yellow,yellow,blue,
2017/18,Roma,2020/21,Leicester City,2021/22,Olympique Marseille,FW,5,Turkey,Ünder,TR,darkred,darkred,gold,royalblue,royalblue,white,white,white,dodgerblue,
1991/92,Olympique Marseille,1994/95,Rangers,1995/96,Monaco,DF,4,France,Boli,FR,white,white,dodgerblue,royalblue,white,red,red,white,red,
1998/99,Barcelona,2003/04,Real Madrid,2006/07,Inter,MF,4,Portugal,Figo,PT,firebrick,navy,firebrick,white,white,white,blue,black,blue,
1990/91,Monaco,1997/98,AC Milan,2000/01,Manchester City,FW,4,Liberia,Weah,LR,red,white,red,red,black,red,skyblue,skyblue,white,
1978/79,Atalanta,1983/84,Juventus,1989/90,Atalanta,MF,9,Italy,Prandelli,IT,blue,black,blue,white,black,white,blue,black,blue,
2004/05,Dinamo Moscow,2007/08,Inter,2009/10,1. FC Köln,MF,7,Portugal,Maniche,PT,white,royalblue,white,blue,black,blue,white,white,red,
1996/97,AC Milan,2004/05,Middlesbrough,2006/07,PSV,DF,8,Netherlands,Reiziger,NL,red,black,red,red,red,white,red,white,red,
1990/91,Lecce,1992/93,Cagliari,1995/96,Roma,MF,7,Italy,Moriero,IT,red,yellow,red,navy,red,navy,darkred,darkred,gold,
1984/85,Udinese,1988/89,Juventus,1989/90,Napoli,MF,5,Italy,Mauro,IT,white,black,white,white,black,white,dodgerblue,dodgerblue,dodgerblue,
1997/98,Inter,1999/00,AC Milan,2003/04,Partizan Belgrade,DF,4,Nigeria,West,NG,blue,black,blue,red,black,red,black,white,black,
2003/04,Brescia,2007/08,Real Zaragoza,2011/12,Lazio,MF,9,Brazil,Matuzalem,BR,dodgerblue,white,dodgerblue,white,white,blue,skyblue,skyblue,white,
2002/03,Hajduk Split,2008/09,Shakhtar Donetsk,2018/19,Cagliari,DF,4,Croatia,Srna,HR,white,royalblue,white,orange,orange,black,navy,red,navy,
2008/09,Lazio,2018/19,Arsenal,2019/20,FC Augsburg,DF,12,Switzerland,Lichtsteiner,CH,skyblue,skyblue,white,white,red,white,white,forestgreen,red,
2005/06,AEK Athen,2007/08,Recreativo Huelva,2014/15,Palermo,GK,10,Italy,Sorrentino,IT,gold,black,gold,white,royalblue,white,lightpink,lightpink,black,
2006/07,Catania,2010/11,Napoli,2011/12,Novara,FW,7,Italy,Mascara,IT,red,dodgerblue,red,dodgerblue,dodgerblue,dodgerblue,dodgerblue,dodgerblue,black,
2004/05,Napoli,2007/08,Empoli,2016/17,AC Milan,DF,5,Italy,Abate,IT,dodgerblue,dodgerblue,dodgerblue,royalblue,royalblue,white,red,black,red,
2013/14,Chelsea,2014/15,AC Milan,2015/16,Stoke City,MF,3+6,Netherlands,Van Ginkel,NL,blue,blue,blue,red,black,red,white,red,white,
2010/11,Napoli,2013/14,Inter,2016/17,Pescara,DF,10,Argentina,Campagnaro,AR,dodgerblue,dodgerblue,dodgerblue,blue,black,blue,dodgerblue,white,dodgerblue,
2006/07,Real Madrid,2011/12,Roma,2012/13,Valencia,MF,4,Argentina,Gago,AR,white,white,white,darkred,darkred,gold,white,white,black,
